id,aq_sum,aq_social,aq_attent_sw,aq_attent_det,aq_comm,aq_imag
3341mkgq,13,0,3,7,1,2
z3zuaqyi,21,4,5,5,4,3
mk3qjk9k,17,2,7,4,1,3
decnc028,23,5,8,4,5,1
n29bvgfq,6,1,3,1,1,0
7etrw5nu,14,0,6,7,0,1
yrsr94ov,14,1,2,7,2,2
9owrldau,23,2,10,7,3,1
21xapnnh,23,3,4,7,5,4
54c6u933,28,5,8,8,5,2
bkdsjtfs,22,3,6,6,3,4
ektwqxeh,23,5,5,8,2,3
1dyyaw4b,7,0,2,4,1,0
7l2zo53o,21,3,5,8,2,3
ywgayqt6,21,3,8,6,1,3
95lns0zf,20,3,10,5,1,1
bx2hkvzu,21,2,5,8,3,3
qkicgoft,17,3,7,6,0,1
vb5zhexh,23,2,6,5,5,5
hy7g3uyh,8,0,1,4,0,3
6ui53ym6,10,1,7,1,1,0
eogyi8j4,21,3,6,7,5,0
u2woyp9g,20,3,7,4,3,3
si7hbkx8,19,4,3,6,1,5
r1rsvgco,26,5,8,5,5,3
nw012b80,16,2,3,6,2,3
3yj6b4h0,21,5,7,4,3,2
g79gm5hl,22,5,8,4,2,3
vu4w0fyr,10,0,4,4,2,0
pw6hk232,22,3,6,3,5,5
2davx7nt,12,0,3,7,1,1
36eh4u39,23,6,9,4,3,1
qtl2vxy4,11,1,4,4,1,1
ejv5piey,24,8,3,6,3,4
6f2ol425,21,1,7,8,2,3
pozsjx4f,14,1,6,6,0,1
a2lhxhxk,27,4,6,9,7,1
o164htod,15,2,5,5,0,3
mychxlnb,19,4,6,4,4,1
tngsmbfb,13,2,4,4,1,2
ow986b5y,16,0,5,7,3,1
kfigyu57,4,0,1,2,1,0
7ozph4zo,18,0,4,9,4,1
2xn0szh6,19,0,8,5,3,3
wl1d54gn,22,6,8,3,3,2
q2l07b9c,11,0,4,6,0,1
30a1bp8j,25,7,5,6,5,2
kkyl1756,13,0,6,5,0,2
n2szmnl5,18,5,5,3,3,2
bemwo57f,24,3,5,5,6,5
v7zfve4a,13,2,3,3,3,2
lq1rtrz8,23,2,9,6,3,3
n0jkqduu,12,0,6,5,1,0
jrf01pal,28,6,6,7,3,6
vs7415pm,18,1,8,5,1,3
mtu8p5sa,18,2,5,5,5,1
9eprutwa,22,1,9,7,4,1
usnnjdm9,21,4,8,7,0,2
1lb7tbr7,31,7,9,6,7,2
99rxav54,21,1,6,8,4,2
17ox37sw,14,1,6,4,3,0
h6f38bwq,24,6,9,3,4,2
ellwx9rd,25,5,7,6,2,5
kv027ctc,16,4,2,8,2,0
qraan3df,14,0,4,6,0,4
gmohu013,23,3,6,6,5,3
oy96qcal,15,0,0,8,1,6
8xlm91xr,27,5,8,7,3,4
0jzi1lm0,29,5,6,7,6,5
x3yr520m,22,3,9,6,1,3
txj3817a,12,2,5,3,1,1
b3q1m2le,27,5,6,7,4,5
noei6ysf,15,1,6,4,2,2
x7813yq0,11,0,8,0,1,2
au3z690l,21,1,5,4,5,6
ze5i9tkz,17,1,6,4,3,3
zrfresc1,23,3,7,5,3,5
hprh5n1p,13,0,7,5,1,0
uuurrbbj,16,0,5,7,2,2
81db02fc,18,2,7,7,1,1
pp56h32v,38,6,10,9,7,6
16j46xy8,17,1,8,7,1,0
5tqven48,9,1,4,4,0,0
ud3qt2ba,12,0,4,4,2,2
qyefhmeo,28,4,8,7,4,5
u8ofwyp7,18,1,7,4,3,3
9d4b8u7f,17,0,8,4,1,4
klijsnkr,16,0,5,6,2,3
5aqq8r6w,11,1,4,2,4,0
321yl4lz,20,2,4,9,3,2
mpn7aupi,15,1,5,2,2,5
cqohls3i,21,2,8,7,1,3
2wl27dkz,8,0,2,5,0,1
fo2t0ykg,20,6,5,4,3,2
3c48ijq4,13,1,7,5,0,0
mei70uns,13,0,5,7,0,1
10gr6k2l,17,3,7,5,1,1
i8qv8im9,13,0,5,4,2,2
tkc3bql3,21,6,6,3,3,3
hdbjnl2c,15,0,3,7,3,2
9e1r9mu0,13,2,6,4,0,1
mtlahwgq,18,2,8,5,0,3
w6fxd0ct,28,3,6,6,5,8
xuhuv8lc,17,2,5,3,3,4
oszs6wd6,25,6,8,6,3,2
ajw8rmzy,17,2,7,3,4,1
pc2f0ui6,17,2,8,4,1,2
r84jyjzi,17,3,6,4,3,1
jwgxbjzf,11,1,5,3,1,1
x8ur0rap,18,3,3,7,1,4
yq52hu7k,14,1,3,7,2,1
qfgl4ric,21,2,4,7,3,5
hxfhs230,29,8,6,6,3,6
ghfmfp6u,12,2,4,5,0,1
pft5n8y6,17,3,5,7,1,1
0lcgs7gr,16,3,2,4,4,3
8vxgrgkb,22,2,8,5,4,3
hi6zokfx,18,1,8,8,0,1
awz14fq9,11,0,6,4,1,0
svrixmaf,14,2,4,6,1,1
91e0xbu5,15,3,7,3,0,2
ggyyoznf,19,0,5,7,2,5
pl9my9hx,18,5,2,3,5,3
oj7dfs8q,29,6,7,9,6,1
og139wwb,16,0,6,9,1,0
6jpt0age,24,8,6,2,5,3
3z7js7ze,23,5,5,9,2,2
vrydb0xr,26,5,7,6,4,4
tjix77rv,21,4,8,4,4,1
14g6hv8k,20,7,4,3,4,2
63z6t035,27,6,4,6,5,6
f3jt6ahq,19,2,2,8,5,2
et5culbq,11,1,3,5,1,1
bla7r2es,9,0,3,5,1,0
6gwztzbq,26,2,5,5,7,7
c51ye0of,12,1,4,4,1,2
sckw9xi2,23,2,9,5,2,5
ldmmwz4f,16,1,6,4,2,3
byga4vql,9,0,3,5,1,0
lv8ld5wh,15,1,4,6,2,2
hgvrtubi,14,1,5,7,1,0
cv8tpy4u,17,5,4,6,1,1
bh4nuak1,16,1,6,7,1,1
e260c445,29,5,7,9,4,4
0jutvml5,22,1,4,8,1,8
op2f5tbq,14,3,1,8,2,0
jscgnhdg,23,1,8,8,3,3
gycppdq6,14,1,4,8,0,1
yq8ep1z3,20,5,9,1,3,2
2z10bv6a,13,1,8,3,1,0
rwtn9oet,17,0,5,9,1,2
sjmltdl9,28,6,8,5,6,3
efi3fjue,18,1,9,6,1,1
b38pdihs,10,0,4,4,0,2
63xil5ki,18,1,5,5,1,6
gszsrlmk,9,0,3,5,1,0
xueabdvq,24,5,10,2,3,4
h46neot4,11,1,4,5,1,0
d2m1zo7g,19,1,6,8,3,1
dr4gkvot,17,0,8,5,3,1
4uzthrsp,17,1,4,8,2,2
5lm4glqo,8,0,5,2,1,0
z0qweezh,13,0,5,5,1,2
enhoisyi,16,1,4,6,1,4
2v42ipxy,20,4,5,4,3,4
wq95x6vk,12,0,5,6,1,0
opoeebkv,11,0,3,7,1,0
msc1rxqn,15,2,4,6,1,2
ej4up0rn,20,2,4,7,4,3
zshuyb8c,20,2,4,6,6,2
sjp7cniy,13,1,4,6,1,1
ptywcizu,22,4,4,6,3,5
02012588,24,4,5,4,5,6
vz5xf26j,13,3,4,5,0,1
lb7vjngv,25,5,7,4,5,4
qbftx87x,21,2,6,5,5,3
3o6c5jme,20,4,6,6,1,3
p04o1y03,16,1,5,6,2,2
hiz600nj,28,5,7,8,5,3
35174ahw,43,9,7,9,10,8
yk3unkzo,16,2,3,8,2,1
ln7kg8ue,19,1,7,9,2,0
0ldaeete,16,2,3,3,6,2
4osyobtp,20,1,8,6,2,3
xmklclsz,31,4,10,8,5,4
qw0603kl,13,2,4,5,2,0
9ypnxdh1,11,0,7,2,1,1
kaj4d6us,16,2,5,6,1,2
sl71orxp,17,1,5,9,1,1
0qlz7yxg,24,6,7,3,2,6
ia304by3,20,2,8,5,2,3
lw419k1p,25,3,7,6,5,4
yozvkl9c,19,3,6,4,3,3
bd6v7ia1,14,1,7,3,0,3
q6ns0zck,18,0,5,7,2,4
dnoe2hz9,27,6,9,3,5,4
onaesdhm,24,5,10,3,4,2
juxni43e,15,2,9,3,1,0
yyfbdu0b,16,0,8,7,0,1
p7r46bu5,12,2,4,6,0,0
n98bw1w1,15,0,5,6,1,3
oc4nj0mw,13,1,7,2,1,2
7qw1xhrh,13,1,4,4,1,3
em7v17uu,29,6,10,4,6,3
66jz8ugt,7,0,2,4,0,1
r0jqeaev,25,3,6,8,5,3
zrn2grix,22,4,7,7,1,3
h56lrud7,18,2,5,4,5,2
ndrjpwzk,26,6,8,2,5,5
sm7365pn,19,1,7,6,2,3
0v04fxma,16,2,6,2,3,3
dmsi5tdj,24,4,6,6,4,4
e40h97cb,28,8,5,2,7,6
4iu45lp8,19,1,7,7,3,1
9wctu8gu,22,2,8,6,2,4
og81fihm,25,5,3,3,7,7
gf2qoo07,16,3,3,7,1,2
lykz1rsu,28,6,6,4,6,6
95qq6nys,22,5,3,4,6,4
d6it3y3p,21,1,6,8,4,2
g6fwz6fr,24,4,7,5,5,3
fhwg4lyo,26,3,9,8,4,2
adx0ufr2,25,5,6,6,4,4
5ckvwhwy,17,2,6,4,3,2
hogiese2,31,8,8,6,6,3
09u7vlj7,17,2,6,6,0,3
vl6m2tlj,15,2,2,6,1,4
9e9jgfep,15,2,6,6,0,1
23h7rpbu,18,1,5,7,3,2
fdlbs3x7,20,4,8,2,2,4
un3gjc1s,19,0,6,8,2,3
iufx87jk,14,2,6,4,0,2
3rsrjkky,30,7,8,4,6,5
ignzshk6,15,3,3,5,2,2
tlzx847n,14,3,6,4,1,0
qh2z8vvu,21,5,6,4,3,3
qt76109e,15,2,3,4,2,4
8op4movi,12,1,3,3,2,3
bjgjzktt,22,3,5,4,4,6
l75tdx7z,9,1,1,4,2,1
yz3rkgxg,15,2,5,2,5,1
62pu08b1,18,1,6,6,1,4
zr3yrq41,19,3,8,2,2,4
me1t6vv5,12,3,3,3,1,2
eakvtfdc,20,3,5,7,1,4
8c1fhpt1,24,5,6,6,4,3
11qq9hxf,20,4,4,3,5,4
9hbdbxgw,26,7,6,6,4,3
oha9ku6d,22,5,8,3,3,3
02hhn3yb,18,2,6,4,5,1
0ph4kxoj,18,2,5,5,4,2
2lrrsgi6,24,6,9,5,2,2
jlaro2kk,25,7,6,4,5,3
20ag2xli,22,1,10,2,3,6
2n6v1k3u,31,8,9,4,5,5
1xqec919,12,1,5,6,0,0
dkzozr6c,14,0,5,8,0,1
7loy5j9t,9,0,4,4,0,1
r7uo6kot,20,4,5,5,3,3
69yhsx5w,24,3,5,7,5,4
5vluzm8n,15,0,6,4,0,5
utvey5kc,23,4,6,6,4,3
g6u6toqw,19,0,8,7,2,2
blxzug9z,22,4,5,7,3,3
h2fr0kzy,17,3,6,2,4,2
3bqwl0jj,16,2,4,5,3,2
zqa7txui,18,3,7,1,3,4
9s5fp6s6,23,7,6,6,2,2
68blqj6y,18,3,4,4,2,5
vysq3qau,18,1,9,3,1,4
zwzuyd36,27,8,5,6,6,2
mb8fnbe5,15,1,6,2,3,3
dyyp50j9,16,0,4,8,1,3
d0ik7z9x,13,0,2,5,2,4
7u3abwgv,14,0,3,5,2,4
a8ivujkd,33,4,10,9,6,4
9qygdnaf,13,1,2,5,2,3
x0p6rm1y,32,9,9,4,7,3
u32swc61,19,5,5,1,7,1
16snqjzk,27,7,9,5,2,4
sf4wxxfl,14,2,3,3,3,3
ojgtxh4b,14,1,5,4,1,3
99d8l5gl,18,1,6,7,0,4
gbvo9nrn,14,1,4,5,1,3
9dptpzrf,14,2,6,2,3,1
4tjawqeo,18,1,8,4,2,3
